Age (in years),CAO Points (100 to 600),"Daily travel to DCU (in km, 0 if on-campus)",Average year 1 exam result (as %),Seat row in class,Gender,Number of older siblings,Number of younger siblings,Old Dublin postcode (0 if outside Dublin),Height (in cm),Weight (in kg),Eye colour,Hair colour,Last 4 digits of your mobile (0000 to 9999),Star sign,Shoe size
21,,10,66,4,Male,0,2,0,178,92,Green,Brown,5262,Capricorn,9
22,505,,68,7,Female,0,1,0,155,55,Blue,Brown,7181,Leo,4
20,600,30,,6,Female,1,2,0,180,55,Blue,Brown,7677,Leo,5
19,543,10,71,,Male,0,1,13,187,76,Blue,Red,838,Taurus,9
,407,8,73,1,Male,2,0,15,181,87,Blue,Brown,6290,Cancer,9.5
20,484,0,68,1,Male,2,1,0,188,73,Blue,Blonde,6684,Taurus,9.5
21,498,2,82,2,Male,2,1,2,187,105,Brown,Brown,7835,Gemini,11
21,498,15,74,1,Male,1,1,15,186,80,Blue,Red,6738,Taurus,9.5
19,509,10,64,3,Male,0,0,3,187,68,Brown,Brown,608,Aquarius,10
19,566,2,70,10,Female,2,0,0,167,60,Green,Brown,87,Pices,5
21,557,15,50.5,10,Male,2,0,15,178,68,Green,Brown,4397,Aries,7
22,397,5,65,5,Female,2,0,0,153,55,Brown,Brown,8626,Sagittarius,5
25,532,20,72,8,Male,1,1,22,192,90,Green,Brown,4768,Aquarius,12
21,425,5,65,5,Female,1,1,0,175,63,Blue,Blonde,3173,Scorpio,6.5
20,521,1,65,9,Male,2,0,9,193,90,Blue,Black,4250,Leo,13
21,512,2,67,8,Female,1,0,0,178,64,Blue,Blonde,8510,Virgo,5
20,520,1,69,7,Male,1,2,11,180,72,Blue,Brown,9610,Leo,9
23,357,3,42,5,Male,2,0,0,187,75,Blue,Brown,904,Aquarius,11
21,400,3.5,48,5,Male,1,0,0,180,75,Brown,Brown,2803,Aries,10
20,450,0,95,12,Male,0,1,2,195,98,Green,Brown,8995,Gemini,11
20,578,78,72,4,Male,3,0,0,180,63,Green,Brown,2666,Capricorn,8.5
19,498,4,72,10,Female,1,1,11,165,60,Brown,Black,2288,Virgo,6
20,450,15,67,6,Male,1,1,0,187,75,Brown,Black,7654,Capricorn,9
20,521,0.5,68,7,Female,1,0,0,165,60,Green,Brown,6413,Capricorn,6
28,366,20,72,8,Prefer not to say,4,0,18,197,104,Blue,Brown,8798,Aries,10
21,504,1,76,2,Male,1,1,0,175,82,Blue,Black,1278,Leo,9
20,500,3,71,2,Female,2,0,1,172,63,Green,Brown,7305,Taurus,5
22,400,46,63,5,Male,2,1,12,182,77,Blue,Blonde,2231,Sagittarius,10
28,350,8,55,10,Male,2,1,5,170,82,Brown,Blonde,7501,Gemini,9
20,521,5,68,4,Male,1,0,9,178,77,Blue,Red,2785,Libra,9
21,521,0,75,3,Female,1,0,0,172,51,Brown,Brown,8091,Libra,8
36,243,5,72,2,Female,2,0,9,168,58,Blue,Red,8973,Cancer,8
21,555,1,68,5,Male,2,1,9,188,84,Brown,Black,3220,Sagittarius,11
20,496,0,70,6,Male,0,1,0,182,80,Blue,Brown,1816,Aquarius,9
23,233,6,68,2,Male,0,1,1,183,74,Blue,Brown,7896,Leo,11
19,500,0,90,1,Female,0,0,3,168,66,Blue,Red,1128,Scorpio,7
22,500,4.5,63,5,Female,1,0,7,167,51,Green,Blonde,111,Aquarius,10
33,550,6.7,99,8,Male,2,1,12,180,80,Green,Black,2356,Scorpio,10
24,500,7,75,3,Female,0,3,1,174,70,Green,Blonde,1546,Aquarius,6.5
21,500,2,66,3,Female,0,1,0,174,60,Green,Blonde,844,Leo,6
19,499,15,65,5,Female,1,1,15,165.1,60,Brown,Brown,5141,Cancer,4
21,460,15,70,3,Female,1,1,15,167,79,Green,Brown,2955,Leo,6
22,525,5.5,70,8,Female,1,0,0,165,56,Blue,Brown,602,Gemini,5
24,529,10,75,5,Female,2,0,7,171,59,Green,Red,4839,Aries,10
21,524,20,70,6,Female,1,1,7,170,68,Green,Brown,2408,Sagittarius,10
21,550,6,68,6,Male,2,0,0,180,70,Brown,Brown,6984,Scorpio,4
20,555,31,80,3,Male,1,0,0,181,80,Brown,Brown,460,Taurus,10
18,450,5,57,7,Female,0,1,9,163,56,Brown,Brown,1049,Libra,5
20,466,3,60,3,Male,1,1,11,198,90,Green,Brown,2576,Capricorn,12
22,525,5,76,8,Female,1,0,0,167,56,Green,Brown,3988,Taurus,5
22,355,20,66,7,Male,0,2,0,193,97,Blue,Brown,1352,Libra,13
20,496,24,70,7,Male,0,1,5,192,85,Blue,Black,6552,Sagittarius,12
23,564,4.4,74,5,Female,0,1,1,176,64,Green,Blonde,4091,Sagittarius,7.5
22,588,3,70,3,Male,1,0,11,190,82,Blue,Blonde,937,Taurus,9
21,500,5,80,6,Female,1,2,12,169,57,Green,Black,1462,Leo,8
21,550,3,75,6,Male,1,2,7,178,70,Brown,Brown,7703,Taurus,9
21,491,1,65,4,Female,0,2,0,172,65,Blue,Brown,4253,Virgo,5
19,460,20,66,4,Male,1,1,24,185,82,Brown,Brown,5567,Sagittarius,11
32,400,10,70,5,Female,3,2,1,170,52,Blue,Blonde,9876,Aquarius,9
22,435,0.05,66,3,Male,0,2,0,158,69,Blue,Blonde,817,Gemini,10.5
26,545,27,68,3,Female,2,1,19,175,53,Blue,Brown,6798,Gemini,7
20,554,17,76,5,Male,1,2,15,183,80,Green,Brown,2561,Sagittarius,8
25,532,3,68,4,Male,0,1,1,183,86,Brown,Black,4653,Cancer,12
22,400,12,55,6,Male,1,0,0,173,58,Blue,Brown,1238,Libra,8
20,450,7,65,5,Female,1,1,7,174,62,Green,Black,730,Aquarius,8
20,429,6,66,8,Female,1,3,12,179,67,Blue,Red,8107,Taurus,9
19,510,4.8,63,11,Female,0,0,7,162,62,Brown,Brown,1446,Pices,6
24,560,3,70,6,Male,2,0,9,178,80,Green,Blonde,7489,Sagittarius,9
20,554,1,72,7,Female,2,1,0,163,74,Green,Brown,5406,Taurus,6
21,200,4,70,3,Male,4,3,11,180,85,Blue,Black,7386,Leo,11.5
