Last 4 digits of your mobile (same as on previous form),Your rating for EXTRAVERSION (vs. introversion),Your rating for INTUITION (vs. observation),Your rating for THINKING (vs. feeling),Your rating for JUDGING (vs. prospecting),Your rating for ASSERTIVE (vs. turbulent)
7703,71,66,65,31,81
5406,60,68,30,35,33
7181,32,62,23,35,31
971,46,48,34,64,42
7263,29,79,23,83,39
5411,49,41,61,57,57
1122,73,48,52,24,58
7335,59,34,54,37,57
7767,20,61,48,53,40
2666,52,69,49,67,42
3308,47,66,33,51,36
8798,22,48,59,75,56
4091,79,55,48,29,92
8995,61,29,66,72,75
1699,64,69,63,58,60
4920,55,66,66,74,74
9552,49,68,25,56,37
1278,73,66,33,33,22
3660,52,38,25,65,64
2424,46,43,66,47,49
316,32,55,36,51,57
5317,25,24,49,44,10
4397,74,48,43,29,63
5870,81,80,64,60,56
838,48,41,57,49,36
4118,57,51,39,61,33
7084,32,45,35,49,36
3320,71,61,41,72,74
3305,61,43,47,49,53
1128,56,56,71,63,64
8510,34,40,55,83,22
7305,52,49,40,88,56
949,63,42,43,42,49
1446,39,61,33,21,11
8826,41,41,47,57,53
111,48,49,39,67,26
6413,64,43,30,72,44
4768,56,68,27,47,49
97,52,37,44,58,43
8007,61,55,61,89,60
8626,25,55,43,61,44
1816,46,62,72,21,60
5692,28,46,48,44,39
8934,46,52,43,90,43
2070,85,45,43,24,44
9000,88,70,54,44,64
1427,60,58,75,88,89
906,45,54,54,74,51
9904,73,33,66,68,42
1462,68,68,46,71,49
2740,49,48,49,47,49
4250,38,63,59,54,51
6909,56,41,46,68,46
4397,65,70,70,65,60
5552,63,45,53,42,46
6138,45,43,57,53,56
9898,63,51,52,51,51
6944,17,38,82,29,69
8421,82,52,71,49,40
1049,64,59,49,63,26
2288,42,72,62,61,31
730,81,61,72,39,33
987,66,65,40,53,29
3173,24,42,29,64,30
2228,74,51,52,68,83
8619,66,55,56,53,72
2986,64,49,36,39,51
4230,63,81,39,65,19
6225,56,60,54,83,68
2785,6,7,7,7,6
417,61,66,53,63,79
7865,73,54,57,82,63
7052,28,27,61,64,54
999,54,49,58,40,58
6984,71,49,43,94,93
5349,28,46,29,56,18
4253,84,55,47,63,31
7721,28,66,49,57,57
7115,36,59,40,74,42
7795,71,69,72,64,64
3513,88,54,48,29,28
4791,29,48,41,72,19
460,60,49,40,65,69
904,56,73,53,47,37
2004,93,58,64,71,82
2559,78,70,64,67,67
9487,63,59,53,58,58
6521,64,46,19,47,32
8947,71,52,55,83,64
1699,64,69,63,58,60
3484,63,46,75,44,60
5289,61,55,66,49,67
9893,71,52,44,58,81
8188,60,63,40,75,68
5311,36,27,59,79,43
6263,64,71,35,42,21
2803,74,42,36,68,18
1462,78,72,46,60,37
4602,29,23,32,60,32
3839,70,50,25,24,46
5085,22,93,44,83,8
6402,78,68,53,71,63
1573,81,49,55,61,64
